"2026-04-17T01:59:08.498Z","820.4ms"
"2026-04-17T01:59:08.508Z","828ms"
"2026-04-17T01:59:08.518Z","840ms"
"2026-04-17T01:59:09.819Z","500.4ms"
"2026-04-17T01:59:10.257Z","926.9ms"
"2026-04-17T01:59:10.281Z","950.8ms"
"2026-04-17T01:59:10.297Z","966.5ms"
"2026-04-17T01:59:10.311Z","981ms"
"2026-04-17T01:59:10.463Z","629.6ms"
"2026-04-17T01:59:10.470Z","637.5ms"
"2026-04-17T01:59:10.484Z","650.6ms"
"2026-04-17T01:59:10.506Z","672.8ms"
"2026-04-17T01:59:11.965Z","573.1ms"
"2026-04-17T01:59:12.004Z","1.2s"
"2026-04-17T01:59:12.084Z","1s"
"2026-04-17T01:59:12.096Z","1.3s"
"2026-04-17T01:59:12.099Z","1s"
"2026-04-17T01:59:12.111Z","1.3s"
"2026-04-17T01:59:12.118Z","1s"
"2026-04-17T01:59:12.142Z","1.1s"
"2026-04-17T01:59:12.195Z","1.4s"
"2026-04-17T01:59:13.010Z","516.3ms"
"2026-04-17T01:59:13.048Z","555.3ms"
"2026-04-17T01:59:13.051Z","574.6ms"
"2026-04-17T01:59:13.057Z","559.5ms"
"2026-04-17T01:59:13.113Z","619.4ms"
"2026-04-17T01:59:13.124Z","540.8ms"
"2026-04-17T01:59:13.180Z","601.4ms"
"2026-04-17T01:59:13.210Z","716.9ms"
"2026-04-17T01:59:13.211Z","718ms"
"2026-04-17T01:59:13.543Z","956.4ms"
"2026-04-17T01:59:13.561Z","977.4ms"
"2026-04-17T01:59:15.048Z","633.6ms"
"2026-04-17T01:59:15.063Z","648.3ms"
"2026-04-17T01:59:15.075Z","660.8ms"
"2026-04-17T01:59:15.083Z","668.9ms"
"2026-04-17T01:59:16.206Z","609.9ms"
"2026-04-17T01:59:16.215Z","618.9ms"
"2026-04-17T01:59:16.242Z","645.4ms"
"2026-04-17T01:59:16.244Z","647.5ms"
"2026-04-17T01:59:17.340Z","639.3ms"
"2026-04-17T01:59:17.370Z","670.2ms"
"2026-04-17T01:59:17.710Z","675.1ms"
"2026-04-17T01:59:17.714Z","680.6ms"
"2026-04-17T01:59:17.746Z","709ms"
"2026-04-17T01:59:17.747Z","710.4ms"
"2026-04-17T01:59:18.756Z","627.8ms"
"2026-04-17T01:59:18.803Z","641.3ms"
"2026-04-17T01:59:18.879Z","726.5ms"
"2026-04-17T01:59:19.018Z","898.4ms"
"2026-04-17T01:59:19.077Z","558.1ms"
"2026-04-17T01:59:20.074Z","617ms"
"2026-04-17T01:59:20.475Z","522.7ms"
"2026-04-17T01:59:20.510Z","531.4ms"
"2026-04-17T01:59:20.541Z","625.2ms"
"2026-04-17T01:59:20.720Z","1.8s"
"2026-04-17T01:59:20.808Z","1.9s"
"2026-04-17T01:59:20.927Z","1.4s"
"2026-04-17T01:59:20.988Z","1.5s"
"2026-04-17T01:59:21.000Z","1.5s"
"2026-04-17T01:59:21.001Z","1.5s"
"2026-04-17T01:59:21.054Z","711.5ms"
"2026-04-17T01:59:21.060Z","841.2ms"
"2026-04-17T01:59:21.073Z","995.5ms"
"2026-04-17T01:59:21.093Z","988.8ms"
"2026-04-17T01:59:21.161Z","754.3ms"
"2026-04-17T01:59:21.199Z","723.3ms"
"2026-04-17T01:59:21.246Z","850ms"
"2026-04-17T01:59:21.405Z","1.2s"
"2026-04-17T01:59:21.488Z","593.9ms"
"2026-04-17T01:59:21.533Z","660.2ms"
"2026-04-17T01:59:21.547Z","639.8ms"
"2026-04-17T01:59:21.580Z","651.8ms"
"2026-04-17T01:59:21.787Z","1s"
"2026-04-17T01:59:21.846Z","1s"
"2026-04-17T01:59:21.978Z","1.1s"
"2026-04-17T01:59:21.991Z","637.8ms"
"2026-04-17T01:59:21.993Z","619.5ms"
"2026-04-17T01:59:22.058Z","684.6ms"
"2026-04-17T01:59:22.060Z","687ms"
"2026-04-17T01:59:22.172Z","1.3s"
"2026-04-17T01:59:22.182Z","773.6ms"
"2026-04-17T01:59:22.214Z","3.3s"
"2026-04-17T01:59:22.402Z","1s"
"2026-04-17T01:59:22.409Z","1s"
"2026-04-17T01:59:22.428Z","1s"
"2026-04-17T01:59:22.679Z","671.5ms"
"2026-04-17T01:59:22.707Z","711.2ms"
"2026-04-17T01:59:22.728Z","737.1ms"
"2026-04-17T01:59:22.778Z","785ms"
"2026-04-17T01:59:22.941Z","818.8ms"
"2026-04-17T01:59:22.942Z","4s"
"2026-04-17T01:59:22.964Z","812.7ms"
"2026-04-17T01:59:22.977Z","875.9ms"
"2026-04-17T01:59:22.993Z","534.8ms"
"2026-04-17T01:59:23.009Z","851.8ms"
"2026-04-17T01:59:23.027Z","569ms"
"2026-04-17T01:59:23.371Z","1s"
"2026-04-17T01:59:23.407Z","1s"
"2026-04-17T01:59:23.436Z","1.1s"
"2026-04-17T01:59:23.473Z","1.1s"
"2026-04-17T01:59:23.705Z","1.3s"
"2026-04-17T01:59:23.730Z","1.3s"
"2026-04-17T01:59:23.766Z","1.4s"
"2026-04-17T01:59:23.821Z","1.5s"
"2026-04-17T01:59:23.870Z","748.9ms"
"2026-04-17T01:59:23.919Z","790.5ms"
"2026-04-17T01:59:24.064Z","941.1ms"
"2026-04-17T01:59:24.098Z","975.8ms"
